X,Y,OBJECTID,Event_Number,ReportedOn,Location,CSZ,Area_Command,Beat,OffenseGroup,NIBRSOffenseCode,VictimCount,Longitude,Latitude,DateDif
-115.096257,36.1785600000001,42658,LLV221200102161,2022/12/26 17:50:39+00,800 Block MANTIS WAY,"LAS VEGAS, NV  89101",NEAC,G1,A,09A,0,-115.096257,36.1785600000001,284
-115.209522,36.212949,42678,LLV230800021521,2023/08/06 17:01:45+00,2900 Block N RANCHO DR,"LAS VEGAS, NV  89108",NWAC,X2,A,09A,0,-115.209522,36.212949,61
-115.13609531,36.1671377100001,44554,LLV220300049380,2022/03/12 14:35:35+00,901 Fremont St,"LAS VEGAS, NV  89101",DTAC,A3,A,09A,1,-115.13609531,36.1671377100001,573
-115.133805,36.1639117280001,45171,LLV220500030253,2022/05/08 11:21:00+00,200 Block S Maryland Pkwy,"Las Vegas, NV  89101",DTAC,A5,A,09A,1,-115.133805,36.1639117280001,516
-115.063947,36.239652,45195,LLV230300008947,2023/03/03 04:42:00+00,5000 Block E CRAIG RD,"Las Vegas, NV  89115",NEAC,F4,A,09C,1,-115.063947,36.239652,218
-115.237422,36.1618110000001,45220,LLV230400138468,2023/04/30 18:39:00+00,6500 Block BANNOCK WAY,"Las Vegas, NV  89107",BAC,U2,A,09A,1,-115.237422,36.1618110000001,159
-115.064424131,36.11296973,46443,LLV230100061231,2023/01/15 20:51:30+00,S Nellis Blvd / Boulder Hwy,"LAS VEGAS, NV  89121",SEAC,J4,A,09A,0,-115.064424131,36.11296973,264
-115.0426125,36.163782,47007,LLV230400000451,2023/04/01 02:20:51+00,Tamara Costa Ct & Sunrise Mountain Dr,"LV, NV  89110",NEAC,G3,A,09A,1,-115.0426125,36.163782,189
-115.08050215,36.17963209,47309,LLV230100025139,2023/01/06 23:58:34+00,800 Block N Lamb Blvd,"LAS VEGAS, NV  89110",NEAC,G1,A,09A,1,-115.08050215,36.17963209,273
-115.242218751,36.17979101,48385,LLV221000062816,2022/10/16 22:59:00+00,700 Block N Rainbow Blvd,"Las Vegas, NV  89107",BAC,U1,A,09A,0,-115.242218751,36.17979101,355
-115.07088563,36.1965801700001,49654,LLV220400125510,2022/04/29 23:34:08+00,2034 Marion Dr,"LAS VEGAS, NV  89115",NEAC,F3,A,09A,1,-115.07088563,36.1965801700001,525
-115.093656,36.2037330000001,50735,LLV220200002688,2022/02/01 15:27:00+00,2400 Block SANDY LN,"Las Vegas, NV  89115",NEAC,F3,A,09A,0,-115.093656,36.2037330000001,612
-115.09444615,36.18597169,51410,LLV220300057365,2022/03/14 14:08:17+00,1400 Block Newport St,"LAS VEGAS, NV  89110",NEAC,F1,A,09A,1,-115.09444615,36.18597169,571
-115.23709348,36.15920219,51658,LLV230900002485,2023/09/01 17:23:21+00,6500 W Charleston Blvd,"LAS VEGAS, NV  89107",BAC,U2,A,09A,1,-115.23709348,36.15920219,35
-115.098327,36.2298510000001,52948,LLV220700051779,2022/07/13 19:44:59+00,3800 Block VIA LUCIA DR,"Las Vegas, NV  89115",NEAC,F4,A,09A,1,-115.098327,36.2298510000001,450
-115.0221015,36.1954170000001,54699,LLV221000066910,2022/10/18 01:59:00+00,6900 Block E LAKE MEAD BLVD,"Las Vegas, NV  89156",NEAC,F2,A,09C,1,-115.0221015,36.1954170000001,354
-115.2515925,36.2768310000001,55070,LLV230800048529,2023/08/14 06:35:00+00,N TENAYA WAY & W CENTENNIAL PKWY,"LAS VEGAS, NV  89131",NWAC,X4,A,09A,0,-115.2515925,36.2768310000001,53
-115.1582625,36.05211,55151,LLV221200102998,2022/12/26 22:54:00+00,7500 Block PLACID ST,"Las Vegas, NV  89123",EAC,S1,A,09A,1,-115.1582625,36.05211,284
-115.129237096,36.170485463,55518,LLV220700088103,2022/07/22 19:35:09+00,300 Block N 13th St,"LAS VEGAS, NV  89101",DTAC,B2,A,09A,1,-115.129237096,36.170485463,441
-115.1165385,36.1583190000001,56427,LLV230100082609,2023/01/21 05:35:33+00,2400 Block FREMONT ST,"Las Vegas, NV  89104",DTAC,C5,A,09C,1,-115.1165385,36.1583190000001,259
-115.03166625,36.08387836,56782,LLV230100087918,2023/01/22 16:45:48+00,6400 Block Boulder Hwy,"LAS VEGAS, NV  89122",SEAC,J4,A,09A,1,-115.03166625,36.08387836,257
-115.13566364,36.167869416,58137,LLV220900017019,2022/09/04 22:01:00+00,100 Block N 9th St,"Las Vegas, NV  89101",DTAC,A4,A,09A,0,-115.13566364,36.167869416,397
-115.16304457,36.1519414800001,60106,LLV220700006805,2022/07/02 16:03:32+00,1600 Block W Oakey Blvd,"LAS VEGAS, NV  89102",DTAC,C2,A,09C,1,-115.16304457,36.1519414800001,461
-115.0987455,36.1509120000001,60817,LLV230200057717,2023/02/14 19:53:00+00,2000 Block PALM ST,"Las Vegas, NV  89104",DTAC,B5,A,09C,0,-115.0987455,36.1509120000001,234
-115.1865315,35.9947080000001,60971,LLV230400105658,2023/04/23 20:57:00+00,3400 Block BELLA LANTE AVE,"Las Vegas, NV  89141",EAC,O5,A,09A,1,-115.1865315,35.9947080000001,166
-115.134246,36.116811,61151,LLV221000046316,2022/10/12 13:32:35+00,3900 Block ALGONQUIN DR,"Las Vegas, NV  89119",SCAC,L2,A,09A,0,-115.134246,36.116811,359
-115.20495,36.159345,62978,LLV221200046416,2022/12/12 13:28:48+00,4700 Block W CHARLESTON BLVD,"LAS VEGAS, NV  89107",BAC,U3,A,09A,0,-115.20495,36.159345,298
-115.17284221,36.08976325,64791,LLV221000011932,2022/10/03 23:57:50+00,4200 Block S Las Vegas Blvd,"LAS VEGAS, NV  89119",CCAC,M4,A,09A,0,-115.17284221,36.08976325,368
-115.07091215,36.11933738,66240,LLV220500023809,2022/05/06 17:30:15+00,4700 Block Boulder Hwy,"LAS VEGAS, NV  89121",SEAC,H2,A,09A,0,-115.07091215,36.11933738,518
-115.1784225,36.0237960000001,66577,LLV220900035231,2022/09/09 08:10:00+00,2700 Block W AGATE AVE,"Las Vegas, NV  89123",EAC,S3,A,09B,1,-115.1784225,36.0237960000001,392
-115.178517,36.1792980000001,67173,LLV221000011759,2022/10/03 22:59:03+00,800 Block N RANCHO DR,"Las Vegas, NV  89106",BAC,W1,A,09A,1,-115.178517,36.1792980000001,368
-115.14159626,36.12525055,67207,LLV220600062380,2022/06/16 19:11:30+00,3500 Block Cambridge St,"LAS VEGAS, NV  89169",SCAC,N2,A,09A,2,-115.14159626,36.12525055,477
-115.2118485,36.1486170000001,69540,LLV230400003596,2023/04/01 20:26:38+00,5100 Block OBANNON DR,"Las Vegas, NV  89146",BAC,U2,A,09A,0,-115.2118485,36.1486170000001,188
-115.10473982,36.1485349500001,70266,LLV230900034079,2023/09/10 12:23:51+00,3200 Block Fremont St,"CLARK COUNTY, NV  89104",DTAC,C5,A,09A,1,-115.10473982,36.1485349500001,26
-115.1102925,36.0248130000001,70917,LLV220300093403,2022/03/23 04:31:59+00,2900 Block SEASONS AVE,"Las Vegas, NV  89074",EAC,S3,A,09C,1,-115.1102925,36.0248130000001,563
-115.195023,36.1269,71936,LLV230100000521,2023/01/01 01:34:00+00,4100 Block SPRING MOUNTAIN RD,"Las Vegas, NV  89102",SVAC,P2,A,09A,0,-115.195023,36.1269,279
-115.214148,36.051516,72153,LLV230700111700,2023/07/26 14:27:00+00,5300 Block RAILROAD RIVER AVE,"Las Vegas, NV  89139",EAC,O1,A,09A,0,-115.214148,36.051516,72
-115.3254825,36.2048580000001,73050,LLV221100085061,2022/11/23 03:29:00+00,W Lake Mead Blvd & Hallston St,"LV, NV  89129",SAC,V2,A,09A,0,-115.3254825,36.2048580000001,318
-115.01721147,36.20714868,75136,LLV221000066803,2022/10/18 00:55:00+00,2600 Block N LOS FELIZ ST,"LAS VEGAS, NV  89156",NEAC,F2,A,09A,1,-115.01721147,36.20714868,354
-115.13443087,36.13062008,76367,LLV221200008507,2022/12/03 01:04:00+00,1300 Block Sombrero Dr,"LAS VEGAS, NV  89169",SCAC,L1,A,09A,0,-115.13443087,36.13062008,308
-115.17819329,36.02118118,77576,LLV230800012873,2023/08/04 08:08:41+00,2720 W Serene Ave,"LAS VEGAS, NV  89123",EAC,S3,A,09C,1,-115.17819329,36.02118118,63
-115.14704641,36.1215796600001,78333,LLV230200107883,2023/02/26 22:11:24+00,764 E Twain Ave,"LAS VEGAS, NV  89169",SCAC,N2,A,09A,1,-115.14704641,36.1215796600001,222
-115.133184,36.1340280000001,80911,LLV220800042100,2022/08/10 23:57:00+00,1400 Block VEGAS VALLEY DR,"Las Vegas, NV  89169",SCAC,L1,A,09A,1,-115.133184,36.1340280000001,422
-115.117695,36.1524150000001,80993,LLV221100103703,2022/11/27 22:36:00+00,1500 Block ARDMORE ST,"Las Vegas, NV  89104",DTAC,C5,A,09A,1,-115.117695,36.1524150000001,313
-115.15462068,36.18011849,81397,LLV220100066256,2022/01/17 13:50:00+00,900 Block Morgan Ave,"LAS VEGAS, NV  89106",BAC,W4,A,09A,1,-115.15462068,36.18011849,627
-115.143741,36.163845,81912,LLV220900122976,2022/09/30 20:09:57+00,500 Block S LAS VEGAS BLVD,"Las Vegas, NV  89101",DTAC,A3,A,09A,0,-115.143741,36.163845,371
-115.15743977,36.19764695,83741,LLV221100102423,2022/11/27 14:29:26+00,1200 Block Hassell Ave,"LAS VEGAS, NV  89106",BAC,W3,A,09A,1,-115.15743977,36.19764695,313
-115.18973412,36.10501642,84052,LLV220200052763,2022/02/13 12:12:25+00,4600 Block S Valley View Blvd,"LAS VEGAS, NV  89103",CCAC,M5,A,09A,1,-115.18973412,36.10501642,600
-115.149945144,36.1437678550001,85117,LLV230600104828,2023/06/23 00:16:11+00,500 Block E Sahara Ave,"Las Vegas, NV  89109",SCAC,N1,A,09A,1,-115.149945144,36.1437678550001,106
-115.125507,36.157356,85844,LLV220500009242,2022/05/03 09:35:06+00,1700 Block E CHARLESTON BLVD,"LAS VEGAS, NV  89104",DTAC,C4,A,09A,0,-115.125507,36.157356,521
-115.2741195,36.15795,85927,LLV230900075524,2023/09/22 02:48:59+00,8300 Block W CHARLESTON BLVD,"Las Vegas, NV  89117",SAC,V4,A,09C,1,-115.2741195,36.15795,15
-115.064147586,36.1075939080001,86149,LLV220800014281,2022/08/04 09:15:33+00,S Nellis Blvd & E Harmon Ave,"LAS VEGAS, NV  89122",SEAC,J4,A,09A,0,-115.064147586,36.1075939080001,428
-115.0639245,36.1002330000001,87786,LLV221000007151,2022/10/02 19:47:59+00,E Tropicana Ave & S Nellis Blvd,"Las Vegas, NV  89122",SEAC,J4,A,09C,1,-115.0639245,36.1002330000001,369
-115.073565538,36.2363577840001,88412,LLV230900103431,2023/09/29 20:52:02+00,14005411038,"LAS VEGAS, NV  89115",NEAC,F4,A,09A,1,-115.073565538,36.2363577840001,7
-115.08953395,36.1955623000001,89879,LLV220500028533,2022/05/07 20:34:02+00,3800 Block E Lake Mead Blvd,"LAS VEGAS, NV  89115",NEAC,F1,A,09A,1,-115.08953395,36.1955623000001,517
-115.1401545,36.1796400000001,90593,LLV220200114147,2022/02/28 00:43:08+00,800 Block N 1ST ST,"Las Vegas, NV  89101",DTAC,B1,A,09A,1,-115.1401545,36.1796400000001,586
-115.09588528,36.2097995600001,91331,LLV230100005066,2023/01/02 05:49:38+00,3500 Block San Francisco Ave,"LAS VEGAS, NV  89115",NEAC,F3,A,09A,1,-115.09588528,36.2097995600001,278
-115.21273261,36.1008433000001,91520,LLV230200039653,2023/02/10 12:33:51+00,5200 Block W Tropicana Ave,"LAS VEGAS, NV  89103",SVAC,P4,A,09A,0,-115.21273261,36.1008433000001,238
-115.12923548,36.16510921,91629,LLV230100031593,2023/01/08 17:35:00+00,200 Block N 17th St,"Las Vegas, NV  89101",DTAC,A5,A,09A,1,-115.12923548,36.16510921,271
-115.1658405,36.1819350000001,93464,LLV230400119328,2023/04/26 18:42:00+00,1100 Block COMSTOCK DR,"Las Vegas, NV  89106",BAC,W2,A,09C,1,-115.1658405,36.1819350000001,163
-115.27972269,36.13798589,94155,LLV230200022766,2023/02/06 14:49:42+00,8600 Starboard Dr,"LAS VEGAS, NV  89117",SAC,R1,A,09A,1,-115.27972269,36.13798589,242
-115.1155845,36.102267,94403,LLV230100033078,2023/01/09 02:34:00+00,4700 Block TOPAZ ST,"Las Vegas, NV  89121",SCAC,L3,A,09A,1,-115.1155845,36.102267,271
-115.099281,36.1605870000001,94959,LLV221200032570,2022/12/08 22:44:00+00,0 Block N PECOS RD,"Las Vegas, NV  89101",DTAC,B4,A,09A,0,-115.099281,36.1605870000001,302
-115.120566208,36.1605154490001,95454,LLV220100089606,2022/01/23 04:20:23+00,2100 Block Fremont St,"LAS VEGAS, NV  89101",DTAC,B4,A,09A,3,-115.120566208,36.1605154490001,622
-115.225057515,36.1145866480001,96462,LLV220400071878,2022/04/17 16:17:03+00,W Flamingo Rd / S Jones Blvd,"LAS VEGAS, NV  89103",SVAC,P1,A,09C,1,-115.225057515,36.1145866480001,537
-115.2059625,36.172197,96557,LLV230600140525,2023/06/30 23:19:00+00,Churchill Ave & S Decatur Blvd,"Las Vegas, NV  89107",BAC,U3,A,09A,0,-115.2059625,36.172197,98
-115.145559,36.141957,97942,LLV220700068625,2022/07/18 03:17:00+00,700 Block E SAHARA AVE,"Las Vegas, NV  89109",SCAC,N1,A,09B,1,-115.145559,36.141957,446
-115.05295293,36.1830993,98457,LLV221000077588,2022/10/20 17:52:24+00,1200 Block N Christy Ln,"LAS VEGAS, NV  89110",NEAC,F2,A,09A,1,-115.05295293,36.1830993,351
-115.138143,36.0961110000001,99705,LLV221000065602,2022/10/17 17:38:46+00,5100 Block GOLDEN LN,"LAS VEGAS, NV  89119",SCAC,N4,A,09A,1,-115.138143,36.0961110000001,354
-115.0776405,36.1048680000001,99975,LLV220900091701,2022/09/23 07:23:00+00,4400 Block DENNIS WAY,"Las Vegas, NV  89121",SEAC,H3,A,09A,1,-115.0776405,36.1048680000001,378
-115.1227395,36.1553040000001,100596,LLV230100033101,2023/01/09 02:47:00+00,1900 Block FRANKLIN AVE,"Las Vegas, NV  89104",DTAC,C4,A,09A,1,-115.1227395,36.1553040000001,271
-115.1497215,36.1198620000001,102453,LLV221200003554,2022/12/01 19:53:00+00,3800 Block ROYAL CREST ST,"Las Vegas, NV  89169",SCAC,N2,A,09A,2,-115.1497215,36.1198620000001,309
-115.12053469,36.05063369,104853,LLV220300091262,2022/03/22 15:34:34+00,7600 Block Constellation St,"LAS VEGAS, NV  89123",EAC,S2,A,09A,1,-115.12053469,36.05063369,563
-115.14691726,36.16747802,104944,LLV221000068847,2022/10/18 14:32:46+00,"300 Block S Casino Ctr Blvd, Cell Nt-2a05","LAS VEGAS, NV  89101",DF,D9,A,09A,0,-115.14691726,36.16747802,353
-115.080541485,36.225133423,105256,LLV220700101546,2022/07/26 13:12:59+00,3600 Block N Las Vegas Blvd,"LV, NV  89115",NEAC,F4,A,09A,0,-115.080541485,36.225133423,437
-115.28688974,36.05686833,105854,LLV220900037182,2022/09/09 17:57:36+00,7200 Block Forefather St,"LAS VEGAS, NV  89148",SAC,R4,A,09C,1,-115.28688974,36.05686833,392
-115.21237788,36.2268707600001,106860,LLV220200005845,2022/02/02 10:21:46+00,5100 Block Cutty Way,"LAS VEGAS, NV  89130",NWAC,X2,A,09A,1,-115.21237788,36.2268707600001,611
-115.1614845,36.117711,108143,LLV230100007404,2023/01/02 19:20:00+00,3900 Block KOVAL LN,"Las Vegas, NV  89169",CCAC,M2,A,09A,0,-115.1614845,36.117711,277
-115.21999719,36.0926293700001,108151,LLV220900088480,2022/09/22 12:43:47+00,5700 Block Chisolm Trl,"LAS VEGAS, NV  89118",SVAC,P4,A,09A,1,-115.21999719,36.0926293700001,379
-115.20643882,36.14032173,108316,LLV230900005998,2023/09/02 16:06:13+00,2900 Block Black Forest Dr,"LAS VEGAS, NV  89102",SVAC,P2,A,09A,0,-115.20643882,36.14032173,34
-115.16761422,36.143921834,108614,LLV230700054892,2023/07/13 00:17:54+00,Western Ave & W Sahara Ave,"LAS VEGAS, NV  89102",CCAC,M1,A,09A,2,-115.16761422,36.143921834,86
-115.052391,36.186651,110159,LLV220500054442,2022/05/14 00:00:00+00,1400 Block N CHRISTY LN,"Las Vegas, NV  89115",NEAC,F2,A,09A,3,-115.052391,36.186651,511
-115.09575184,36.18125587,110163,LLV221000110414,2022/10/28 23:25:52+00,3600 Block Valley Forge Ave,"LAS VEGAS, NV  89110",NEAC,F1,A,09A,1,-115.09575184,36.18125587,343
-115.12920346,36.14095853,111343,LLV220600106630,2022/06/27 21:31:17+00,1750 Karen Ave,"LAS VEGAS, NV  89169",SCAC,L1,A,09C,1,-115.12920346,36.14095853,466
-115.140627,36.1212120000001,111395,LLV220400101075,2022/04/24 14:35:59+00,1000 Block E TWAIN AVE,"LV, NV  89169",SCAC,N2,A,09A,2,-115.140627,36.1212120000001,530
-115.26600627,36.28737026,111734,LLV230500139778,2023/05/28 09:30:50+00,7800 Block Odysseus Ave,"LAS VEGAS, NV  89131",NWAC,X4,A,09A,0,-115.26600627,36.28737026,131
-115.194294,36.1963710000001,111770,LLV220500077292,2022/05/19 16:39:00+00,2000 Block RANCHO LAKE DR,"Las Vegas, NV  89108",NWAC,X2,A,09C,1,-115.194294,36.1963710000001,505
-115.122024,36.1698660000001,111823,LLV230200071126,2023/02/17 23:10:32+00,1900 Block CEDAR AVE,"Las Vegas, NV  89101",DTAC,B2,A,09A,2,-115.122024,36.1698660000001,231
-115.17247061,36.1012032,111978,LLV230500140590,2023/05/28 13:33:05+00,3799 S Las Vegas Blvd Fl 7,"LAS VEGAS, NV  89109",CCAC,M3,A,09A,0,-115.17247061,36.1012032,131
-115.109683923,36.1589714180001,112578,LLV230600083025,2023/06/18 12:31:57+00,2900 E Charleston Blvd,"LAS VEGAS, NV  89101",DTAC,B4,A,09A,0,-115.109683923,36.1589714180001,110
-115.0693785,36.1009980000001,114692,LLV230400004651,2023/04/02 01:31:15+00,4800 Block E TROPICANA AVE,"LAS VEGAS, NV  89121",SEAC,H3,A,09A,1,-115.0693785,36.1009980000001,188
-115.215836191,36.0809388230001,114858,LLV230800049975,2023/08/14 15:17:05+00,16336601013,"LAS VEGAS, NV  89118",SVAC,P4,A,09A,0,-115.215836191,36.0809388230001,53
-115.133186174,36.2578501900001,115365,LLV230400002494,2023/04/01 15:59:00+00,600 Block E Hammer Ln,"Las Vegas, NV  89081",NEAC,F4,A,09A,1,-115.133186174,36.2578501900001,188
-115.22587305,36.1145653400001,115811,LLV220500044833,2022/05/11 18:09:08+00,6100 Block W Flamingo Rd,"LAS VEGAS, NV  89103",SVAC,P1,A,09A,0,-115.22587305,36.1145653400001,513
-115.048476,36.158868,116632,LLV221000101562,2022/10/26 18:11:17+00,5700 Block E CHARLESTON BLVD,"LAS VEGAS, NV  89142",SEAC,J1,A,09A,0,-115.048476,36.158868,345
-115.2355095,36.2441880000001,116924,LLV220900086801,2022/09/22 02:18:22+00,4600 Block N RANCHO DR,"LAS VEGAS, NV  89130",NWAC,X2,A,09A,0,-115.2355095,36.2441880000001,380
